input_data: 
1 13 20 18
2 25 35 2
3 15 10 6
4 20 2 11
5 4 21 19
6 11 39 5
7 5 41 3
8 2 24 6
Tick: 38 pid: 2, time_on_cpu: 14, time_left: 21 
Tick: 39 pid: 2, time_on_cpu: 15, time_left: 20 
Tick: 40 pid: 2, time_on_cpu: 16, time_left: 19 
Tick: 41 pid: 2, time_on_cpu: 17, time_left: 18 
Tick: 42 pid: 2, time_on_cpu: 18, time_left: 17 
Tick: 43 pid: 2, time_on_cpu: 19, time_left: 16 
Tick: 44 pid: 2, time_on_cpu: 20, time_left: 15 
Tick: 45 pid: 2, time_on_cpu: 21, time_left: 14 
Tick: 46 pid: 2, time_on_cpu: 22, time_left: 13 
Tick: 47 pid: 2, time_on_cpu: 23, time_left: 12 
Tick: 48 pid: 2, time_on_cpu: 24, time_left: 11 
Tick: 49 pid: 2, time_on_cpu: 25, time_left: 10 
Tick: 50 pid: 2, time_on_cpu: 26, time_left: 9 
Tick: 51 pid: 2, time_on_cpu: 27, time_left: 8 
Tick: 52 pid: 2, time_on_cpu: 28, time_left: 7 
Tick: 53 pid: 2, time_on_cpu: 29, time_left: 6 
Tick: 54 pid: 2, time_on_cpu: 30, time_left: 5 
Tick: 55 pid: 2, time_on_cpu: 31, time_left: 4 
Tick: 56 pid: 2, time_on_cpu: 32, time_left: 3 
Tick: 57 pid: 2, time_on_cpu: 33, time_left: 2 
Tick: 58 pid: 2, time_on_cpu: 34, time_left: 1 
Tick: 59 pid: 2, time_on_cpu: 35, time_left: 0 
Tick: 60 pid: 7, time_on_cpu: 21, time_left: 20 
Tick: 61 pid: 7, time_on_cpu: 22, time_left: 19 
Tick: 62 pid: 7, time_on_cpu: 23, time_left: 18 
Tick: 63 pid: 7, time_on_cpu: 24, time_left: 17 
Tick: 64 pid: 7, time_on_cpu: 25, time_left: 16 
Tick: 65 pid: 7, time_on_cpu: 26, time_left: 15 
Tick: 66 pid: 7, time_on_cpu: 27, time_left: 14 
Tick: 67 pid: 7, time_on_cpu: 28, time_left: 13 
Tick: 68 pid: 7, time_on_cpu: 29, time_left: 12 
Tick: 69 pid: 7, time_on_cpu: 30, time_left: 11 
Tick: 70 pid: 7, time_on_cpu: 31, time_left: 10 
Tick: 71 pid: 7, time_on_cpu: 32, time_left: 9 
Tick: 72 pid: 7, time_on_cpu: 33, time_left: 8 
Tick: 73 pid: 7, time_on_cpu: 34, time_left: 7 
Tick: 74 pid: 7, time_on_cpu: 35, time_left: 6 
Tick: 75 pid: 7, time_on_cpu: 36, time_left: 5 
Tick: 76 pid: 7, time_on_cpu: 37, time_left: 4 
Tick: 77 pid: 7, time_on_cpu: 38, time_left: 3 
Tick: 78 pid: 7, time_on_cpu: 39, time_left: 2 
Tick: 79 pid: 7, time_on_cpu: 40, time_left: 1 
Tick: 80 pid: 7, time_on_cpu: 41, time_left: 0 
Tick: 81 pid: 6, time_on_cpu: 1, time_left: 38 
Tick: 82 pid: 6, time_on_cpu: 2, time_left: 37 
Tick: 83 pid: 6, time_on_cpu: 3, time_left: 36 
Tick: 84 pid: 6, time_on_cpu: 4, time_left: 35 
Tick: 85 pid: 6, time_on_cpu: 5, time_left: 34 
Tick: 86 pid: 6, time_on_cpu: 6, time_left: 33 
Tick: 87 pid: 6, time_on_cpu: 7, time_left: 32 
Tick: 88 pid: 6, time_on_cpu: 8, time_left: 31 
Tick: 89 pid: 6, time_on_cpu: 9, time_left: 30 
Tick: 90 pid: 6, time_on_cpu: 10, time_left: 29 
Tick: 91 pid: 6, time_on_cpu: 11, time_left: 28 
Tick: 92 pid: 6, time_on_cpu: 12, time_left: 27 
Tick: 93 pid: 6, time_on_cpu: 13, time_left: 26 
Tick: 94 pid: 6, time_on_cpu: 14, time_left: 25 
Tick: 95 pid: 6, time_on_cpu: 15, time_left: 24 
Tick: 96 pid: 6, time_on_cpu: 16, time_left: 23 
Tick: 97 pid: 6, time_on_cpu: 17, time_left: 22 
Tick: 98 pid: 6, time_on_cpu: 18, time_left: 21 
Tick: 99 pid: 6, time_on_cpu: 19, time_left: 20 
Tick: 100 pid: 6, time_on_cpu: 20, time_left: 19 
Tick: 101 pid: 6, time_on_cpu: 21, time_left: 18 
Tick: 102 pid: 6, time_on_cpu: 22, time_left: 17 
Tick: 103 pid: 6, time_on_cpu: 23, time_left: 16 
Tick: 104 pid: 6, time_on_cpu: 24, time_left: 15 
Tick: 105 pid: 6, time_on_cpu: 25, time_left: 14 
Tick: 106 pid: 6, time_on_cpu: 26, time_left: 13 
Tick: 107 pid: 6, time_on_cpu: 27, time_left: 12 
Tick: 108 pid: 6, time_on_cpu: 28, time_left: 11 
Tick: 109 pid: 6, time_on_cpu: 29, time_left: 10 
Tick: 110 pid: 6, time_on_cpu: 30, time_left: 9 
Tick: 111 pid: 6, time_on_cpu: 31, time_left: 8 
Tick: 112 pid: 6, time_on_cpu: 32, time_left: 7 
Tick: 113 pid: 6, time_on_cpu: 33, time_left: 6 
Tick: 114 pid: 6, time_on_cpu: 34, time_left: 5 
Tick: 115 pid: 6, time_on_cpu: 35, time_left: 4 
Tick: 116 pid: 6, time_on_cpu: 36, time_left: 3 
Tick: 117 pid: 6, time_on_cpu: 37, time_left: 2 
Tick: 118 pid: 6, time_on_cpu: 38, time_left: 1 
Tick: 119 pid: 6, time_on_cpu: 39, time_left: 0 
Tick: 120 pid: 3, time_on_cpu: 1, time_left: 9 
Tick: 121 pid: 3, time_on_cpu: 2, time_left: 8 
Tick: 122 pid: 3, time_on_cpu: 3, time_left: 7 
Tick: 123 pid: 3, time_on_cpu: 4, time_left: 6 
Tick: 124 pid: 3, time_on_cpu: 5, time_left: 5 
Tick: 125 pid: 3, time_on_cpu: 6, time_left: 4 
Tick: 126 pid: 3, time_on_cpu: 7, time_left: 3 
Tick: 127 pid: 3, time_on_cpu: 8, time_left: 2 
Tick: 128 pid: 3, time_on_cpu: 9, time_left: 1 
Tick: 129 pid: 3, time_on_cpu: 10, time_left: 0 
Tick: 130 pid: 8, time_on_cpu: 4, time_left: 20 
Tick: 131 pid: 8, time_on_cpu: 5, time_left: 19 
Tick: 132 pid: 8, time_on_cpu: 6, time_left: 18 
Tick: 133 pid: 8, time_on_cpu: 7, time_left: 17 
Tick: 134 pid: 8, time_on_cpu: 8, time_left: 16 
Tick: 135 pid: 8, time_on_cpu: 9, time_left: 15 
Tick: 136 pid: 8, time_on_cpu: 10, time_left: 14 
Tick: 137 pid: 8, time_on_cpu: 11, time_left: 13 
Tick: 138 pid: 8, time_on_cpu: 12, time_left: 12 
Tick: 139 pid: 8, time_on_cpu: 13, time_left: 11 
Tick: 140 pid: 8, time_on_cpu: 14, time_left: 10 
Tick: 141 pid: 8, time_on_cpu: 15, time_left: 9 
Tick: 142 pid: 8, time_on_cpu: 16, time_left: 8 
Tick: 143 pid: 8, time_on_cpu: 17, time_left: 7 
Tick: 144 pid: 8, time_on_cpu: 18, time_left: 6 
Tick: 145 pid: 8, time_on_cpu: 19, time_left: 5 
Tick: 146 pid: 8, time_on_cpu: 20, time_left: 4 
Tick: 147 pid: 8, time_on_cpu: 21, time_left: 3 
Tick: 148 pid: 8, time_on_cpu: 22, time_left: 2 
Tick: 149 pid: 8, time_on_cpu: 23, time_left: 1 
Tick: 150 pid: 8, time_on_cpu: 24, time_left: 0 
Tick: 151 pid: 4, time_on_cpu: 1, time_left: 1 
Tick: 152 pid: 4, time_on_cpu: 2, time_left: 0 
Tick: 153 pid: 1, time_on_cpu: 1, time_left: 19 
Tick: 154 pid: 1, time_on_cpu: 2, time_left: 18 
Tick: 155 pid: 1, time_on_cpu: 3, time_left: 17 
Tick: 156 pid: 1, time_on_cpu: 4, time_left: 16 
Tick: 157 pid: 1, time_on_cpu: 5, time_left: 15 
Tick: 158 pid: 1, time_on_cpu: 6, time_left: 14 
Tick: 159 pid: 1, time_on_cpu: 7, time_left: 13 
Tick: 160 pid: 1, time_on_cpu: 8, time_left: 12 
Tick: 161 pid: 1, time_on_cpu: 9, time_left: 11 
Tick: 162 pid: 1, time_on_cpu: 10, time_left: 10 
Tick: 163 pid: 1, time_on_cpu: 11, time_left: 9 
Tick: 164 pid: 1, time_on_cpu: 12, time_left: 8 
Tick: 165 pid: 1, time_on_cpu: 13, time_left: 7 
Tick: 166 pid: 1, time_on_cpu: 14, time_left: 6 
Tick: 167 pid: 1, time_on_cpu: 15, time_left: 5 
Tick: 168 pid: 1, time_on_cpu: 16, time_left: 4 
Tick: 169 pid: 1, time_on_cpu: 17, time_left: 3 
Tick: 170 pid: 1, time_on_cpu: 18, time_left: 2 
Tick: 171 pid: 1, time_on_cpu: 19, time_left: 1 
Tick: 172 pid: 1, time_on_cpu: 20, time_left: 0 
Tick: 173 pid: 5, time_on_cpu: 1, time_left: 20 
Tick: 174 pid: 5, time_on_cpu: 2, time_left: 19 
Tick: 175 pid: 5, time_on_cpu: 3, time_left: 18 
Tick: 176 pid: 5, time_on_cpu: 4, time_left: 17 
Tick: 177 pid: 5, time_on_cpu: 5, time_left: 16 
Tick: 178 pid: 5, time_on_cpu: 6, time_left: 15 
Tick: 179 pid: 5, time_on_cpu: 7, time_left: 14 
Tick: 180 pid: 5, time_on_cpu: 8, time_left: 13 
Tick: 181 pid: 5, time_on_cpu: 9, time_left: 12 
Tick: 182 pid: 5, time_on_cpu: 10, time_left: 11 
Tick: 183 pid: 5, time_on_cpu: 11, time_left: 10 
Tick: 184 pid: 5, time_on_cpu: 12, time_left: 9 
Tick: 185 pid: 5, time_on_cpu: 13, time_left: 8 
Tick: 186 pid: 5, time_on_cpu: 14, time_left: 7 
Tick: 187 pid: 5, time_on_cpu: 15, time_left: 6 
Tick: 188 pid: 5, time_on_cpu: 16, time_left: 5 
Tick: 189 pid: 5, time_on_cpu: 17, time_left: 4 
Tick: 190 pid: 5, time_on_cpu: 18, time_left: 3 
Tick: 191 pid: 5, time_on_cpu: 19, time_left: 2 
Tick: 192 pid: 5, time_on_cpu: 20, time_left: 1 
Tick: 193 pid: 5, time_on_cpu: 21, time_left: 0 
Tick: 194 Tick: 195 Avg Wait Time: 96.875000
Avg Response Time: 76.875000
 Avg Turnaround Time: 120.875000
CPU Utilization:0.984615
